% FILE: Exam4_matlab.1
%
%       t             Q1             Q2             U1             U2
%     (sec)          (rad)          (rad)         (rad/s)        (rad/s)

  2.580000E+01  -8.630251E-01   2.115512E+00   5.737298E-08   2.807438E-08 
  2.590000E+01  -8.630251E-01   2.115512E+00   6.524225E-08   2.434152E-08 
  2.600000E+01  -8.630251E-01   2.115512E+00   6.963875E-08   2.014231E-08 
  2.610000E+01  -8.630251E-01   2.115512E+00   7.082414E-08   1.569638E-08 
  2.620000E+01  -8.630251E-01   2.115512E+00   6.915082E-08   1.120494E-08 
  2.630000E+01  -8.630251E-01   2.115512E+00   6.503719E-08   6.845448E-09 
  2.640000E+01  -8.630251E-01   2.115512E+00   5.894346E-08   2.767847E-09 
  2.650000E+01  -8.630250E-01   2.115512E+00   5.134881E-08  -9.076173E-10 
  2.660000E+01  -8.630250E-01   2.115512E+00   4.273056E-08  -4.091141E-09 
  2.670000E+01  -8.630250E-01   2.115512E+00   3.354606E-08  -6.722875E-09 
  2.680000E+01  -8.630250E-01   2.115512E+00   2.421758E-08  -8.771378E-09 
  2.690000E+01  -8.630250E-01   2.115512E+00   1.512042E-08  -1.023121E-08 
  2.700000E+01  -8.630250E-01   2.115512E+00   6.574325E-09  -1.111986E-08 
  2.710000E+01  -8.630250E-01   2.115512E+00  -1.161899E-09  -1.147428E-08 
  2.720000E+01  -8.630250E-01   2.115512E+00  -7.892698E-09  -1.134704E-08 
  2.730000E+01  -8.630250E-01   2.115512E+00  -1.348540E-08  -1.080246E-08 
  2.740000E+01  -8.630250E-01   2.115512E+00  -1.786744E-08  -9.912780E-09 
  2.750000E+01  -8.630250E-01   2.115512E+00  -2.102165E-08  -8.754447E-09 
  2.760000E+01  -8.630250E-01   2.115512E+00  -2.297996E-08  -7.404749E-09 
  2.770000E+01  -8.630250E-01   2.115512E+00  -2.381610E-08  -5.938793E-09 
  2.780000E+01  -8.630250E-01   2.115512E+00  -2.363751E-08  -4.426919E-09 
  2.790000E+01  -8.630250E-01   2.115512E+00  -2.257706E-08  -2.932611E-09 
  2.800000E+01  -8.630250E-01   2.115512E+00  -2.078480E-08  -1.510903E-09 
  2.810000E+01  -8.630251E-01   2.115512E+00  -1.842010E-08  -2.073005E-10 
  2.820000E+01  -8.630251E-01   2.115512E+00  -1.564440E-08   9.428083E-10 
  2.830000E+01  -8.630251E-01   2.115512E+00  -1.261479E-08   1.914283E-09 
  2.840000E+01  -8.630251E-01   2.115512E+00  -9.478588E-09   2.691948E-09 
  2.850000E+01  -8.630251E-01   2.115512E+00  -6.368896E-09   3.269960E-09 
  2.860000E+01  -8.630251E-01   2.115512E+00  -3.401316E-09   3.650885E-09 
  2.870000E+01  -8.630251E-01   2.115512E+00  -6.716942E-10   3.844562E-09 
  2.880000E+01  -8.630251E-01   2.115512E+00   1.745091E-09   3.866821E-09 
  2.890000E+01  -8.630251E-01   2.115512E+00   3.795389E-09   3.738123E-09 
  2.900000E+01  -8.630251E-01   2.115512E+00   5.446207E-09   3.482193E-09 
  2.910000E+01  -8.630251E-01   2.115512E+00   6.683911E-09   3.124692E-09 
  2.920000E+01  -8.630251E-01   2.115512E+00   7.512357E-09   2.691982E-09 
  2.930000E+01  -8.630251E-01   2.115512E+00   7.950583E-09   2.210017E-09 
  2.940000E+01  -8.630251E-01   2.115512E+00   8.030201E-09   1.703401E-09 
  2.950000E+01  -8.630251E-01   2.115512E+00   7.792631E-09   1.194602E-09 
  2.960000E+01  -8.630251E-01   2.115512E+00   7.286307E-09   7.033623E-10 
  2.970000E+01  -8.630250E-01   2.115512E+00   6.563945E-09   2.462864E-10 
  2.980000E+01  -8.630250E-01   2.115512E+00   5.680002E-09  -1.634047E-10 
  2.990000E+01  -8.630250E-01   2.115512E+00   4.688365E-09  -5.159496E-10 
  3.000000E+01  -8.630250E-01   2.115512E+00   3.640362E-09  -8.049864E-10 
